question_id,method,rank,chunk_id,score
20,dense,5,пао ятэк-p008-c002,0.8470137119293213
20,dense,6,пао омз-p041-c005,0.8470079302787781
20,dense,7,магнит-p035-c001,0.8469243049621582
20,dense,8,магнит-p067-c001,0.8458849787712097
20,dense,9,пао омз-p053-c002,0.8457110524177551
20,dense,10,мтс-p028-c005,0.8451945781707764
21,dense,1,озон-p016-c001,0.8778500556945801
21,dense,2,озон-p008-c001,0.8746825456619263
21,dense,3,пао омз-p041-c005,0.8702827095985413
21,dense,4,озон-p054-c001,0.8693543076515198
21,dense,5,озон-p011-c001,0.8693158030509949
21,dense,6,пао омз-p057-c002,0.8676893711090088
21,dense,7,русагро-p036-c004,0.8673067092895508
21,dense,8,озон-p023-c001,0.8668632507324219
21,dense,9,озон-p050-c001,0.8663368225097656
21,dense,10,пао ятэк-p042-c003,0.8645743727684021
22,dense,1,глобалтрак менеджмент-p009-c001,0.9142943620681763
22,dense,2,глобалтрак менеджмент-p012-c001,0.894338846206665
22,dense,3,глобалтрак менеджмент-p037-c001,0.8917561769485474
22,dense,4,глобалтрак менеджмент-p049-c001,0.8907859325408936
22,dense,5,глобалтрак менеджмент-p010-c001,0.8900970816612244
22,dense,6,глобалтрак менеджмент-p011-c001,0.888304591178894
22,dense,7,глобалтрак менеджмент-p003-c002,0.8873836994171143
22,dense,8,глобалтрак менеджмент-p044-c001,0.887194812297821
22,dense,9,глобалтрак менеджмент-p042-c001,0.8849506378173828
22,dense,10,глобалтрак менеджмент-p043-c001,0.8821698427200317
23,dense,1,башинформсвязь-p044-c004,0.8859517574310303
23,dense,2,лента-p057-c004,0.8842411637306213
23,dense,3,ржд-p066-c004,0.8837819695472717
23,dense,4,пао оак-p028-c001,0.8830371499061584
23,dense,5,эн-p058-c008,0.8826531171798706
23,dense,6,русагро-p072-c007,0.8823928833007812
23,dense,7,магнит-p061-c004,0.8818817138671875
23,dense,8,лукойл-p023-c002,0.8818789720535278
23,dense,9,глобалтрак менеджмент-p045-c003,0.8818680644035339
23,dense,10,россети-p066-c002,0.8810383081436157
24,dense,1,русагро-p045-c004,0.899155855178833
24,dense,2,россети-p068-c005,0.8926406502723694
24,dense,3,пао омз-p040-c003,0.8924398422241211
24,dense,4,пао омз-p039-c004,0.8910277485847473
24,dense,5,транснефть-p029-c003,0.8901446461677551
24,dense,6,хэдхантер-p045-c002,0.889655590057373
24,dense,7,газпром-p100-c004,0.888221025466919
24,dense,8,русагро-p043-c004,0.8881537914276123
24,dense,9,русагро-p043-c002,0.8879926204681396
24,dense,10,лукойл-p030-c002,0.8878280520439148
25,dense,1,русагро-p045-c004,0.8947903513908386
25,dense,2,хэдхантер-p045-c002,0.8900741338729858
25,dense,3,лукойл-p029-c006,0.888839840888977
25,dense,4,пао омз-p039-c004,0.8864237666130066
25,dense,5,русгидро-p056-c002,0.8853040337562561
25,dense,6,пао омз-p032-c005,0.8847919702529907
25,dense,7,россети-p068-c005,0.8843362331390381
25,dense,8,лукойл-p029-c005,0.8830198049545288
25,dense,9,газпром-p100-c004,0.8813614845275879
25,dense,10,русагро-p043-c002,0.8813371062278748
26,dense,1,ашинский металлургический завод-p040-c006,0.8624237775802612
26,dense,2,пао омз-p041-c005,0.8601558804512024
26,dense,3,магнит-p043-c006,0.8588017225265503
26,dense,4,фосагро-p046-c007,0.8578222990036011
26,dense,5,магнит-p063-c004,0.8577674031257629
26,dense,6,пао полюс-p039-c006,0.8576973676681519
26,dense,7,нлмк-p025-c003,0.8575177788734436
26,dense,8,магнит-p063-c006,0.8570257425308228
26,dense,9,хэдхантер-p038-c004,0.8561580181121826
26,dense,10,пао московская биржа бухгалтерская финансовая отчетность за 2024 обобщенная-p079-c002,0.8561421632766724
27,dense,1,газпром-p102-c001,0.8715479969978333
27,dense,2,пао ятэк-p040-c007,0.8679167628288269
27,dense,3,пао полюс-p044-c008,0.8672416806221008
27,dense,4,пао омз-p041-c005,0.8671680688858032
27,dense,5,газпром-p100-c001,0.866657018661499
27,dense,6,лукойл-p035-c006,0.8662465810775757
27,dense,7,лукойл-p031-c004,0.8662322759628296
27,dense,8,тбанк-p071-c002,0.8652462363243103
27,dense,9,газпром-p013-c001,0.8647536039352417
27,dense,10,газпром-p017-c001,0.8647531270980835
28,dense,1,ржд-p083-c005,0.878881573677063
28,dense,2,сбер-p154-c002,0.8784201741218567
28,dense,3,пао оак-p028-c004,0.8775531649589539
28,dense,4,тмк-p047-c003,0.877043604850769
28,dense,5,норильский никель-p050-c004,0.8744260668754578
28,dense,6,пао афк система-p010-c002,0.8703134059906006
28,dense,7,сбер-p152-c003,0.8700500726699829
28,dense,8,пао московская биржа бухгалтерская финансовая отчетность за 2024 обобщенная-p069-c006,0.869394838809967
28,dense,9,глобалтрак менеджмент-p062-c002,0.8690917491912842
28,dense,10,т технологии-p132-c002,0.8687659502029419
29,dense,1,мечел-p002-c003,0.8788612484931946
29,dense,2,мечел-p002-c002,0.8785203695297241
29,dense,3,мечел-p002-c006,0.8675973415374756
29,dense,4,мечел-p008-c006,0.8662105798721313
29,dense,5,мечел-p007-c009,0.8647092580795288
29,dense,6,россети-p061-c003,0.8622658848762512
29,dense,7,русал-p045-c002,0.8622114062309265
29,dense,8,сбер-p154-c002,0.8618237972259521
29,dense,9,тмк-p047-c003,0.8613818883895874
29,dense,10,м видео-p076-c003,0.8607104420661926
30,dense,1,инарктика-p010-c001,0.8862656354904175
30,dense,2,инарктика-p012-c001,0.8814033269882202
30,dense,3,инарктика-p045-c001,0.8775956034660339
30,dense,4,инарктика-p011-c001,0.8759269118309021
30,dense,5,инарктика-p009-c001,0.8750744462013245
30,dense,6,инарктика-p046-c001,0.872107744216919
30,dense,7,инарктика-p026-c001,0.8671292066574097
30,dense,8,инарктика-p030-c001,0.864303469657898
30,dense,9,инарктика-p015-c001,0.8636130690574646
30,dense,10,инарктика-p046-c002,0.8633648157119751
31,dense,1,европлан-p009-c001,0.8734031915664673
31,dense,2,европлан-p033-c001,0.8704289197921753
31,dense,3,европлан-p024-c001,0.8668826818466187
31,dense,4,пао югк-p015-c002,0.8663779497146606
31,dense,5,европлан-p038-c001,0.8658027052879333
31,dense,6,европлан-p025-c001,0.8652496337890625
31,dense,7,европлан-p036-c001,0.8652299046516418
31,dense,8,европлан-p035-c001,0.8648402094841003
31,dense,9,ржд-p013-c003,0.8644014596939087
31,dense,10,европлан-p037-c001,0.8639844059944153
32,dense,1,норильский никель-p008-c001,0.9002126455307007
32,dense,2,русал-p056-c005,0.8950444459915161
32,dense,3,норильский никель-p073-c001,0.8885765075683594
32,dense,4,норильский никель-p063-c001,0.8878864049911499
32,dense,5,норильский никель-p061-c001,0.886770486831665
32,dense,6,норильский никель-p042-c001,0.88666832447052
32,dense,7,норильский никель-p044-c001,0.8858596086502075
32,dense,8,норильский никель-p010-c001,0.8848097324371338
32,dense,9,норильский никель-p048-c001,0.8845576643943787
32,dense,10,норильский никель-p053-c001,0.8823244571685791
33,dense,1,башинформсвязь-p044-c004,0.8978326916694641
33,dense,2,ржд-p066-c004,0.8947118520736694
33,dense,3,лента-p057-c004,0.8924868702888489
33,dense,4,русагро-p072-c007,0.8910646438598633
33,dense,5,магнит-p061-c004,0.8909687399864197
33,dense,6,пао оак-p028-c001,0.8896898031234741
33,dense,7,тбанк-p007-c001,0.8896649479866028
33,dense,8,тбанк-p090-c005,0.8888992071151733
33,dense,9,лукойл-p023-c002,0.8879706859588623
33,dense,10,росинтер ресторантс холдинг-p066-c005,0.8867406845092773
34,dense,1,русагро-p045-c004,0.9022806286811829
34,dense,2,хэдхантер-p045-c002,0.8960285186767578
34,dense,3,пао омз-p040-c003,0.895309329032898
34,dense,4,лукойл-p030-c002,0.8912383913993835
34,dense,5,россети-p068-c005,0.8901336193084717
34,dense,6,лукойл-p029-c006,0.8900811672210693
34,dense,7,русгидро-p056-c002,0.889884352684021
34,dense,8,лукойл-p029-c005,0.8890347480773926
34,dense,9,транснефть-p029-c003,0.8889461159706116
34,dense,10,магнит-p059-c002,0.8887360095977783
35,dense,1,русагро-p045-c004,0.901777982711792
35,dense,2,хэдхантер-p045-c002,0.8993407487869263
35,dense,3,лукойл-p029-c006,0.898847222328186
35,dense,4,пао омз-p039-c004,0.8959954977035522
35,dense,5,пао омз-p032-c005,0.8947558403015137
35,dense,6,лукойл-p029-c005,0.894428014755249
35,dense,7,русгидро-p056-c002,0.8918382525444031
35,dense,8,россети-p068-c005,0.8918061256408691
35,dense,9,русагро-p043-c002,0.8886114358901978
35,dense,10,магнит-p065-c003,0.8880162239074707
36,dense,1,м видео-p036-c001,0.8800283670425415
36,dense,2,пао полюс-p039-c006,0.8746113777160645
36,dense,3,хэдхантер-p038-c004,0.874281108379364
36,dense,4,фосагро-p046-c007,0.873117208480835
36,dense,5,пао омз-p041-c005,0.8717305660247803
36,dense,6,магнит-p063-c006,0.8699967265129089
36,dense,7,ржд-p085-c002,0.8694659471511841
36,dense,8,лукойл-p033-c004,0.8693500757217407
36,dense,9,нлмк-p025-c003,0.8680199980735779
36,dense,10,магнит-p063-c004,0.867900013923645
37,dense,1,тмк-p047-c003,0.8722865581512451
37,dense,2,ржд-p083-c005,0.8711421489715576
37,dense,3,сбер-p154-c002,0.8683851361274719
37,dense,4,сбер-p152-c003,0.8670307397842407
37,dense,5,норильский никель-p050-c004,0.866690993309021
37,dense,6,роснефть-p005-c001,0.8656628727912903
37,dense,7,т технологии-p023-c009,0.8630648851394653
37,dense,8,магнит-p066-c007,0.8617525100708008
37,dense,9,газпром-p050-c004,0.8615756630897522
37,dense,10,пао московская биржа бухгалтерская финансовая отчетность за 2024 обобщенная-p069-c006,0.8605824112892151
38,dense,1,роснефть-p005-c001,0.8885793089866638
38,dense,2,сбер-p152-c003,0.873236894607544
38,dense,3,роснефть-p032-c004,0.8723313808441162
38,dense,4,мечел-p008-c001,0.8719302415847778
38,dense,5,сбер-p154-c002,0.8708716034889221
38,dense,6,русгидро-p004-c002,0.8708038926124573
38,dense,7,пао полюс-p037-c001,0.8703229427337646
38,dense,8,русагро-p077-c002,0.8696372509002686
38,dense,9,русагро-p042-c007,0.8691427111625671
38,dense,10,сбер-p059-c003,0.8680977821350098
39,dense,1,русал-p038-c001,0.8781789541244507
39,dense,2,пао ятэк-p040-c007,0.8666737079620361
39,dense,3,лукойл-p035-c006,0.8661452531814575
39,dense,4,пао полюс-p044-c008,0.8639750480651855
39,dense,5,пао омз-p041-c005,0.863273024559021
39,dense,6,башинформсвязь-p048-c004,0.8630616068840027
39,dense,7,т технологии-p104-c004,0.8614304065704346
39,dense,8,тбанк-p071-c002,0.8597545027732849
39,dense,9,лента-p074-c002,0.859214186668396
39,dense,10,пао афк система-p044-c007,0.8586695194244385
45,dense,1,росинтер ресторантс холдинг-p012-c001,0.8954543471336365
45,dense,2,росинтер ресторантс холдинг-p014-c001,0.8810824155807495
45,dense,3,росинтер ресторантс холдинг-p018-c001,0.8799817562103271
45,dense,4,росинтер ресторантс холдинг-p013-c001,0.8799199461936951
45,dense,5,росинтер ресторантс холдинг-p057-c001,0.8763599395751953
45,dense,6,росинтер ресторантс холдинг-p054-c001,0.8741426467895508
45,dense,7,росинтер ресторантс холдинг-p017-c004,0.8733053207397461
45,dense,8,росинтер ресторантс холдинг-p023-c001,0.8721284866333008
45,dense,9,росинтер ресторантс холдинг-p070-c002,0.8707160949707031
45,dense,10,росинтер ресторантс холдинг-p011-c001,0.8699272274971008
46,dense,1,росинтер ресторантс холдинг-p012-c001,0.9070001840591431
46,dense,2,росинтер ресторантс холдинг-p014-c001,0.8929145336151123
46,dense,3,росинтер ресторантс холдинг-p013-c001,0.89241623878479
46,dense,4,росинтер ресторантс холдинг-p057-c001,0.889000654220581
46,dense,5,росинтер ресторантс холдинг-p069-c001,0.8820613622665405
46,dense,6,росинтер ресторантс холдинг-p011-c001,0.8788131475448608
46,dense,7,росинтер ресторантс холдинг-p018-c001,0.8786703944206238
46,dense,8,росинтер ресторантс холдинг-p054-c001,0.878119707107544
46,dense,9,росинтер ресторантс холдинг-p056-c001,0.8706139326095581
46,dense,10,росинтер ресторантс холдинг-p053-c001,0.8704939484596252
47,dense,1,росинтер ресторантс холдинг-p011-c001,0.9103074073791504
47,dense,2,росинтер ресторантс холдинг-p054-c001,0.9033923745155334
47,dense,3,росинтер ресторантс холдинг-p018-c001,0.8973222970962524
47,dense,4,росинтер ресторантс холдинг-p057-c001,0.897114098072052
47,dense,5,росинтер ресторантс холдинг-p014-c001,0.8969012498855591
47,dense,6,росинтер ресторантс холдинг-p012-c001,0.8939167261123657
47,dense,7,росинтер ресторантс холдинг-p056-c001,0.8888754844665527
47,dense,8,росинтер ресторантс холдинг-p013-c001,0.8865073919296265
47,dense,9,росинтер ресторантс холдинг-p017-c001,0.8842305541038513
47,dense,10,росинтер ресторантс холдинг-p053-c001,0.8842260241508484
48,dense,1,башинформсвязь-p008-c001,0.8948060274124146
48,dense,2,башинформсвязь-p054-c001,0.8920184373855591
48,dense,3,башинформсвязь-p046-c001,0.8901983499526978
48,dense,4,башинформсвязь-p044-c001,0.8892310857772827
48,dense,5,башинформсвязь-p010-c001,0.8864229917526245
48,dense,6,башинформсвязь-p044-c004,0.8812294602394104
48,dense,7,лента-p057-c004,0.8809112310409546
48,dense,8,лукойл-p023-c002,0.876470685005188
48,dense,9,пао оак-p028-c001,0.8744729161262512
48,dense,10,пао полюс-p039-c002,0.8732017278671265
49,dense,1,пао омз-p039-c004,0.89203941822052
49,dense,2,росинтер ресторантс холдинг-p018-c001,0.8909044861793518
49,dense,3,россети-p068-c005,0.8897706270217896
49,dense,4,лукойл-p030-c002,0.8871347904205322
49,dense,5,росинтер ресторантс холдинг-p011-c001,0.8865097165107727
49,dense,6,русгидро-p056-c002,0.8847099542617798
49,dense,7,русагро-p045-c004,0.8835651874542236
49,dense,8,пао ятэк-p029-c006,0.883135199546814
49,dense,9,хэдхантер-p045-c002,0.8803774118423462
49,dense,10,пао омз-p064-c007,0.8803730010986328
50,dense,1,пао омз-p039-c004,0.899081826210022
50,dense,2,росинтер ресторантс холдинг-p018-c001,0.8928536176681519
50,dense,3,россети-p068-c005,0.890615701675415
50,dense,4,русгидро-p056-c002,0.8859302401542664
50,dense,5,росинтер ресторантс холдинг-p011-c001,0.8838143348693848
50,dense,6,лукойл-p029-c006,0.8835935592651367
50,dense,7,русагро-p045-c004,0.8824174404144287
50,dense,8,хэдхантер-p045-c002,0.8822001218795776
50,dense,9,магнит-p065-c003,0.8807046413421631
50,dense,10,пао ятэк-p029-c006,0.8799940943717957
51,dense,1,башинформсвязь-p054-c001,0.8953642249107361
51,dense,2,башинформсвязь-p008-c001,0.8919510841369629
51,dense,3,башинформсвязь-p044-c001,0.8850759267807007
51,dense,4,башинформсвязь-p010-c001,0.8763774633407593
51,dense,5,башинформсвязь-p002-c001,0.8738169074058533
51,dense,6,тмк-p047-c003,0.8724011182785034
51,dense,7,сбер-p154-c002,0.8716225624084473
51,dense,8,ржд-p083-c005,0.8705687522888184
51,dense,9,башинформсвязь-p046-c001,0.8705296516418457
51,dense,10,норильский никель-p050-c004,0.8629937171936035
52,dense,1,башинформсвязь-p008-c001,0.9053047895431519
52,dense,2,башинформсвязь-p054-c001,0.9037988781929016
52,dense,3,башинформсвязь-p044-c001,0.8994653224945068
52,dense,4,башинформсвязь-p010-c001,0.8932379484176636
52,dense,5,башинформсвязь-p046-c001,0.8824955224990845
52,dense,6,башинформсвязь-p002-c001,0.8777940273284912
52,dense,7,сбер-p154-c002,0.8751556873321533
52,dense,8,россети-p061-c003,0.8725594282150269
52,dense,9,пао афк система-p080-c002,0.8701528906822205
52,dense,10,пао афк система-p055-c006,0.8684440851211548
53,dense,1,башинформсвязь-p010-c001,0.8911221027374268
53,dense,2,башинформсвязь-p054-c001,0.8762063980102539
53,dense,3,башинформсвязь-p044-c001,0.8749248385429382
53,dense,4,башинформсвязь-p046-c001,0.8642466068267822
53,dense,5,хэдхантер-p029-c004,0.8616828322410583
53,dense,6,башинформсвязь-p002-c001,0.8609154224395752
53,dense,7,башинформсвязь-p008-c001,0.8606353998184204
53,dense,8,пао полюс-p044-c008,0.8595664501190186
53,dense,9,пао омз-p041-c005,0.8583276271820068
53,dense,10,русгидро-p051-c005,0.8564255833625793
